road_id,timestamp,hour,day_of_week,is_weekend,temperature_c,precipitation_mm,visibility_km,wind_speed_kmph,weather_condition,congestion_level
R0,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.313
R1,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.274
R2,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.334
R3,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.336
R4,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.393
R5,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.367
R6,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.343
R7,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.398
R8,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.266
R9,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.293
R10,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.279
R11,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.306
R12,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.256
R13,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.357
R14,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.314
R15,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.251
R16,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.274
R17,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.341
R18,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.367
R19,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.425
R20,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.471
R21,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.346
R22,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.276
R23,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.218
R24,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.338
R25,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.284
R26,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.304
R27,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.294
R28,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.318
R29,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.378
R30,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.333
R31,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.317
R32,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.273
R33,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.241
R34,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.301
R35,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.322
R36,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.413
R37,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.332
R38,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.374
R39,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.3
R40,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.266
R41,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.277
R42,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.289
R43,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.431
R44,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.284
R45,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.367
R46,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.28
R47,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.372
R48,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.344
R49,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.317
R50,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.323
R51,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.292
R52,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.347
R53,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.302
R54,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.264
R55,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.261
R56,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.334
R57,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.404
R58,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.333
R59,2024-01-01 00:00:00,0,0,0,12.4,5.5,6.0,28.0,Fog,0.319
R0,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.339
R1,2024-01-01 01:00:00,1,0,0,12.4,5.5,6.0,28.0,Fog,0.39
