road_id,from_node,to_node,distance_km,base_speed_kmph
R0,N14,N10,4.0,30
R1,N3,N12,0.83,50
R2,N4,N8,5.62,30
R3,N7,N3,6.09,40
R4,N8,N18,2.94,80
R5,N6,N7,3.28,30
R6,N12,N6,1.92,50
R7,N15,N10,1.47,60
R8,N3,N2,2.2,50
R9,N12,N15,5.52,80
R10,N10,N15,6.75,50
R11,N19,N16,5.75,30
R12,N17,N10,6.74,40
R13,N1,N11,6.54,80
R14,N9,N18,2.66,40
R15,N0,N8,5.62,60
R16,N2,N5,2.0,30
R17,N7,N6,0.56,60
R18,N5,N2,5.49,60
R19,N14,N12,5.79,40
R20,N12,N13,3.94,60
R21,N11,N15,4.77,30
R22,N19,N2,1.36,30
R23,N17,N13,5.51,60
R24,N13,N7,4.74,50
R25,N15,N12,6.24,50
R26,N12,N14,4.65,60
R27,N10,N14,4.69,60
R28,N16,N19,0.73,40
R29,N18,N8,3.78,80
R30,N15,N9,3.56,40
R31,N16,N11,6.9,30
R32,N7,N13,0.94,40
R33,N6,N12,2.61,80
R34,N6,N9,5.46,40
R35,N10,N2,4.68,50
R36,N15,N11,5.48,60
R37,N11,N16,3.55,50
R38,N10,N17,1.75,80
R39,N6,N2,0.67,30
R40,N1,N0,5.92,30
R41,N4,N2,3.96,60
R42,N0,N1,4.26,30
R43,N2,N3,1.64,50
R44,N11,N1,3.85,60
R45,N3,N7,3.36,40
R46,N0,N2,5.23,40
R47,N8,N0,3.21,80
R48,N2,N4,1.39,30
R49,N13,N12,7.71,40
R50,N2,N19,5.75,80
R51,N2,N0,2.49,60
R52,N8,N4,6.34,80
R53,N2,N6,5.88,60
R54,N13,N17,2.54,50
R55,N2,N10,1.22,50
R56,N9,N15,3.92,80
R57,N12,N3,2.02,60
R58,N9,N6,4.84,40
R59,N18,N9,1.83,50
